,fullname,points,position
0,Adam Vinatieri,126.0,K
1,Phil Dawson,31.0,K
2,Sebastian Janikowski,128.0,K
3,Tom Brady,291.3,QB
4,Drew Brees,308.98,QB
5,Josh McCown,24.76,QB
6,Matt Bryant,108.0,K
7,Jason Witten,0.0,TE
8,Antonio Gates,47.3,TE
9,Eli Manning,250.96,QB
10,Larry Fitzgerald,116.68,WR
11,Philip Rivers,297.02,QB
12,Ben Roethlisberger,356.86,QB
13,Benjamin Watson,52.0,TE
14,Matt Schaub,0.1,QB
15,Alex Smith,143.0,QB
16,Aaron Rodgers,314.58,QB
17,Mike Nugent,26.0,K
18,Frank Gore,90.6,RB
19,Darren Sproles,46.0,RB
20,Derek Anderson,10.5,QB
21,Matt Cassel,2.66,QB
22,Ryan Fitzpatrick,177.84,QB
23,Nick Novak,0.0,K
24,Robbie Gould,139.0,K
25,Vernon Davis,50.7,TE
26,Jay Cutler,0.0,QB
27,Marcedes Lewis,3.9,TE
28,Kellen Clemens,0.0,QB
29,Anthony Fasano,0.0,TE
30,Stephen Gostkowski,138.0,K
31,Brandon Marshall,19.6,WR
32,Delanie Walker,5.2,TE
33,Adrian Peterson,169.0,RB
34,Ted Ginn Jr.,35.5,WR
35,Marshawn Lynch,64.0,RB
36,Greg Olsen,53.1,TE
37,Drew Stanton,0.0,QB
38,Brent Celek,0.0,TE
39,Nick Folk,0.0,K
40,Mason Crosby,145.0,K
41,Clark Harris,0.0,TE
42,Matt Moore,0.0,QB
43,Matt Prater,129.32,K
44,Eric Weems,0.0,WR
45,Matt Ryan,360.96,QB
46,Jonathan Stewart,1.7,RB
47,Joe Flacco,143.1,QB
48,Jordy Nelson,93.7,WR
49,DeSean Jackson,110.3,WR
50,Chad Henne,1.46,QB
51,Jamaal Charles,1.4,RB
52,Harry Douglas,0.0,WR
53,Matthew Slater,0.0,WR
54,Josh Johnson,53.6,QB
55,Pierre Garcon,34.6,WR
56,Danny Amendola,68.42,WR
57,Mike Tolbert,0.0,RB
58,Stephen Hauschka,106.0,K
59,Matthew Stafford,223.18,QB
60,Mark Sanchez,3.32,QB
61,Darrius Heyward-Bey,0.2,WR
62,Michael Crabtree,78.7,WR
63,Jeremy Maclin,0.0,WR
64,Kenny Britt,0.0,WR
65,LeSean McCoy,93.2,RB
66,Brandon Tate,0.0,WR
67,Mike Wallace,0.0,WR
68,Jared Cook,125.6,TE
69,Louis Murphy,0.0,WR
70,Zach Miller,0.0,TE
71,Cedric Peerman,0.0,RB
72,John Phillips,3.8,TE
73,Julian Edelman,133.42,WR
74,Ryan Succop,117.0,K
75,Graham Gano,82.0,K
76,Brian Hoyer,-0.52,QB
77,Chase Daniel,31.7,QB
78,Sam Bradford,16.7,QB
79,Jermaine Gresham,7.4,TE
80,Demaryius Thomas,97.7,WR
81,Dez Bryant,0.0,WR
82,Arrelious Benn,0.0,WR
83,Rob Gronkowski,84.2,TE
84,Golden Tate,108.9,WR
85,Ed Dickson,33.2,TE
86,Brandon LaFell,25.5,WR
87,Emmanuel Sanders,127.22,WR
88,Colt McCoy,30.18,QB
89,Eric Decker,0.0,WR
90,Andre Roberts,25.9,WR
91,Jimmy Graham,75.6,TE
92,Clay Harbor,0.0,TE
93,Michael Hoomanawanui,0.0,TE
94,Antonio Brown,219.7,WR
95,Joe Webb III,1.3,QB
96,Jeff Cumberland,0.0,TE
97,LeGarrette Blount,76.5,RB
98,Chris Ivory,65.0,RB
99,Logan Paulsen,15.1,TE
100,James Develin,30.9,RB
101,Cam Newton,295.6,QB
102,A.J. Green,103.4,WR
103,Julio Jones,212.9,WR
104,Blaine Gabbert,37.04,QB
105,Mark Ingram,121.5,RB
106,Andy Dalton,185.54,QB
107,Kyle Rudolph,87.4,TE
108,Lance Kendricks,23.0,TE
109,Shane Vereen,0.0,RB
110,Torrey Smith,33.0,WR
111,Greg Little,0.0,WR
112,Randall Cobb,48.3,WR
113,DeMarco Murray,0.0,RB
114,Stevan Ridley,11.8,RB
115,Ryan Mallett,0.0,QB
116,Luke Stocker,28.5,TE
117,Taiwan Jones,0.0,RB
118,Bilal Powell,49.3,RB
119,Julius Thomas,0.0,TE
120,Anthony Sherman,15.8,RB
121,Jacquizz Rodgers,45.0,RB
122,Dion Lewis,101.7,RB
123,T.J. Yates,0.0,QB
124,Jeremy Kerley,0.7,WR
125,Niles Paul,9.5,TE
126,Lee Smith,25.3,TE
127,Charles Clay,16.4,TE
128,Dwayne Harris,11.2,WR
129,Aldrick Robinson,53.1,WR
130,Tyrod Taylor,43.42,QB
131,Jordan Todman,0.0,RB
132,Virgil Green,27.0,TE
133,Doug Baldwin,91.8,WR
134,Dontrelle Inman,48.4,WR
135,Patrick DiMarco,7.1,RB
136,Scott Tolzien,0.0,QB
137,Chris Hogan,71.2,WR
138,Andre Holmes,16.2,WR
139,Kyle Nelson,0.0,TE
140,Patrick Scales,0.0,TE
141,Kamar Aiken,5.3,WR
142,Dan Bailey,99.0,K
143,Kai Forbath,16.0,K
144,Terrelle Pryor,37.1,WR
145,Andrew Luck,341.92,QB
146,Robert Griffin III,0.84,QB
147,Ryan Tannehill,150.96,QB
148,Michael Floyd,18.0,WR
149,Kendall Wright,0.0,WR
150,Brandon Weeden,-0.1,QB
151,Doug Martin,101.9,RB
152,Brian Quick,1.8,WR
153,Coby Fleener,0.0,TE
154,Alshon Jeffery,120.3,WR
155,Brock Osweiler,71.98,QB
156,Dwayne Allen,2.7,TE
157,DeVier Posey,0.0,WR
158,Russell Wilson,305.42,QB
159,Mohamed Sanu,116.4,WR
160,Nick Foles,79.22,QB
161,T.Y. Hilton,163.0,WR
162,Lamar Miller,147.6,RB
163,Travis Benjamin,28.7,WR
164,Kirk Cousins,292.12,QB
